Scenario,Input_Rate,BSM_Price,Approach1_Price,Best_ML_Price,Approach2_Direct_Price,BSM_Price_Change,Approach1_Price_Change,Best_ML_Price_Change
Base,0.0455,82.52782127278121,82.45691446776415,82.45691446776415,0.0,0.0,0.0,0.0
50% Volatility Spike,0.0455,83.80042138836605,83.6264152719906,83.6264152719906,0.0,1.2726001155848365,1.1695008042264448,1.1695008042264448
2% Rate Hike,0.0655,85.33743090263495,85.29119074484436,85.29119074484436,0.0,2.809609629853739,2.834276277080207,2.834276277080207
Combined Shock,0.0655,86.4015765672656,86.25100834281285,86.25100834281285,0.0,3.8737552944843827,3.794093875048702,3.794093875048702
